Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 3 [44000/49000 (90%)]	Train Loss: 0.162633	Val Loss: 0.001636	Val Acc: 95.0
Train Epoch: 3 [46000/49000 (94%)]	Train Loss: 0.147142	Val Loss: 0.001830	Val Acc: 91.6
Train Epoch: 3 [48000/49000 (98%)]	Train Loss: 0.098751	Val Loss: 0.001262	Val Acc: 95.4
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 0.772408	Val Loss: 0.002693	Val Acc: 90.2
Train Epoch: 4 [2000/49000 (4%)]	Train Loss: 0.052058	Val Loss: 0.002284	Val Acc: 91.4
Train Epoch: 4 [4000/49000 (8%)]	Train Loss: 0.093791	Val Loss: 0.001865	Val Acc: 92.0
Train Epoch: 4 [6000/49000 (12%)]	Train Loss: 0.100538	Val Loss: 0.001745	Val Acc: 92.8
Train Epoch: 4 [8000/49000 (16%)]	Train Loss: 0.078886	Val Loss: 0.002096	Val Acc: 92.6
Train Epoch: 4 [10000/49000 (20%)]	Train Loss: 0.331737	Val Loss: 0.002200	Val Acc: 93.2
Train Epoch: 4 [12000/49000 (24%)]	Train Loss: 0.054235	Val Loss: 0.002090	Val Acc: 92.0
Train Epoch: 4 [14000/49000 (29%)]	Train Loss: 0.173040	Val Loss: 0.001923	Val Acc: 92.8
Train Epoch: 4 [16000/49000 (33%)]	Train Loss: 0.133485	Val Loss: 0.002087	Val Acc: 92.8
Train Epoch: 4 [18000/49000 (37%)]	Train Loss: 0.200789	Val Loss: 0.002165	Val Acc: 92.4
Train Epoch: 4 [20000/49000 (41%)]	Train Loss: 0.233125	Val Loss: 0.001852	Val Acc: 93.4
Train Epoch: 4 [22000/49000 (45%)]	Train Loss: 0.093591	Val Loss: 0.001537	Val Acc: 94.6
Train Epoch: 4 [24000/49000 (49%)]	Train Loss: 0.127735	Val Loss: 0.002355	Val Acc: 90.4
Train Epoch: 4 [26000/49000 (53%)]	Train Loss: 0.064872	Val Loss: 0.001511	Val Acc: 93.8
Train Epoch: 4 [28000/49000 (57%)]	Train Loss: 0.093656	Val Loss: 0.001635	Val Acc: 92.8
Train Epoch: 4 [30000/49000 (61%)]	Train Loss: 0.111349	Val Loss: 0.001907	Val Acc: 93.6
Train Epoch: 4 [32000/49000 (65%)]	Train Loss: 0.107433	Val Loss: 0.001756	Val Acc: 93.4
Train Epoch: 4 [34000/49000 (69%)]	Train Loss: 0.201764	Val Loss: 0.002314	Val Acc: 92.2
Train Epoch: 4 [36000/49000 (73%)]	Train Loss: 0.114687	Val Loss: 0.002165	Val Acc: 91.4
Train Epoch: 4 [38000/49000 (78%)]	Train Loss: 0.193212	Val Loss: 0.002052	Val Acc: 93.4
Train Epoch: 4 [40000/49000 (82%)]	Train Loss: 0.126601	Val Loss: 0.001936	Val Acc: 93.8
Train Epoch: 4 [42000/49000 (86%)]	Train Loss: 0.080185	Val Loss: 0.001871	Val Acc: 93.4
Train Epoch: 4 [44000/49000 (90%)]	Train Loss: 0.070256	Val Loss: 0.001781	Val Acc: 92.4
Train Epoch: 4 [46000/49000 (94%)]	Train Loss: 0.074747	Val Loss: 0.001907	Val Acc: 93.0
Train Epoch: 4 [48000/49000 (98%)]	Train Loss: 0.086008	Val Loss: 0.001942	Val Acc: 93.4
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 0.672571	Val Loss: 0.001520	Val Acc: 94.2
Train Epoch: 5 [2000/49000 (4%)]	Train Loss: 0.142841	Val Loss: 0.002421	Val Acc: 91.6
Train Epoch: 5 [4000/49000 (8%)]	Train Loss: 0.077321	Val Loss: 0.001880	Val Acc: 93.8
